paper_id_new,paper_id,coder,data,data_standardized,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_IG_category,data_per_metric,data_metric_method,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig
86,Collaboration on Procedural Problems May Support Conceptual Knowledge More than You May Think,,"I) Eye Gaze
III) Audio
V) Log data",,"I) eye-tracker
III) computer audio chat
V) computer","I) NS
III) NS
V) NS","1) hint behavior
2) joint visual attention - collaboration quality
3) moments of good collaboration ","1) Log Data
2) Gaze
3) Log Data","1) Task Related
2) Visual Attention
3) Task Related",,"1) V
2) I
3) III",,"A) learning gain
",A) computer-based isomorphic test forms,A) Learning ,A) product,"2-A: correlation: sig
2-A: correlation: nonsig"
87,An Application of Extreme Value Theory to Learning Analytics: Predicting Collaboration Outcome from Eye-Tracking Data,,I) Eye Gaze ,,I) eye-tracker ,I) NS ,"1) Gaze Visual Agitation
2) Gaze Spatial Entropy
3) Return Levels - EVT ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention",,"1) I
2) I
3) I",,A) quality of collaboration,A) scores based on comparing concept map with the map created by two experts,A) coordination,A) process,"1-A: ANOVA: nonsig
2-A: ANOVA: nonsig
2-A: correlation: nonsig"
88,Using Dual Eye-Tracking to Evaluate Students' Collaboration with an Intelligent Tutoring System for Elementary-Level Fractions,,I) Eye Gaze,,I) eye-tracker,I) SMI Red 250 Hz,"1) joint visual attention 
2) gaze recurrence ","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention",,"1) I 
2) I ",,"A) learning gain - procedural test
B) learning gain - conceptual test","A) pre post test 
B) pre post test ",A) Learning ,A) product,"1-A: correlation: nonsig
1-B: correlation: sig"
89,"Understanding Collaborative Program Comprehension: Interlacing Gaze and Dialogues
",,"I) Eye Gaze
III) Audio",,"I) Eye-tracker 
III) NS","I) Tobii 1750
III) NS","1) Gaze Episodes
2) Dialogue Episodes
3) Gaze Transitions","1) Gaze
2) Speech
3) Gaze","1) Visual Attention
2) Speech Participation
3) Visual Attention",,"1) I
2) III
3) I",,A) Task performance - level of understanding,A) researcher coded,A) performance,A) product,1-A: ANOVA: sig
90,Many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,"kavie, zoe","II) Video
III) Audio
V) Log data",,"II) Camera
III) Microphone
V) Log data","II) RGB-D
III)
V) ROSbag","1) Affective States
2) Speech
3) Task-context Features
","1) Gaze
2) Speech
3) ","1) Affective State
2) Speech
3) Text Features",,"1) II
2) II
3) III
4) V
",,"A) Last error
B) Learning gain","A) performance score
B) pre-post test","A) performance
B) learning","A) product
B) product","1-A: Kruskal-Wallis: nonsig
2-B: Kruskal-Wallis: sig: (expressive explorers, silent wanderers)"
91,Looking To Understand: The Coupling Between Speakers’ and Listeners’ Eye Movements and Its Relationship to Discourse Comprehension,kavie,I) Eye Gaze,,I) Eye Tracker,I) ASL,1) Eye Movement,1) Gaze,1) Eye Motion,,1) I,,A) Task performance,A) performance score,A) performance,"A) product
",1-A: ANOVA: sig
92,On the Same Wavelength: Exploring Team Neurosynchrony in Undergraduate Dyads Solving a Cyberlearning Problem With Collaborative Script,"kavie, zoe","III) Audio
VIII) EEG",,VIII) EEG Sensor,VIII) B-Alert X-10,1) Brain synchrony,1) Physiological,1) Brain,,1) VIII,,"A) collaborative problem-solving performance
B) collaborative problem-solving efficiency
","A) researcher coded
B) log data
","A) performance
B) coordination
","A) product
B) process","1-A: positive correlation: sig
1-B: negative correlation: sig"
93,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,kavie,IV) Kinesiology,,IV) Kinect,IV) Kinect depth camera,"1) Posture Estimation
2) Hand-to-Face Gesture","1) Body
2) Body","1) Gross Body Motion
2) Gross Body Motion",,"1) IV
2) IV",,"A) learning gain
","A) pre post test
","A) cognitive load
","A) product
",1-A: negative correlation: sig
94,"The relationships between learner variables, tool-usage behaviour and performance",kavie,V) Log Data,,V) Log Data,,1) Task-Context Features,1) Log Data,1) Task Related,,1) V,,A) Task performance,A) researcher coded,"A) perspective
B) argument","A) product
B) product","1-A: Wilcoxon Signed Ranks test: sig
1-B: Wilcoxon Signed Ranks test: sig"
95,Effects of Knowledge Interdependence with the Partner on Visual and Action Transactivity in Collaborative Concept Mapping,kavie,I) Eye Gaze,,I) Eye Tracker,,"1) Concept map fixation time ratio
2) Number of concept-map eye-gaze transitions","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention",,"1) I
2) I",,"A) Learning Measures
","A) questionnaire (individual level), research coded (dyad level)
",A) performance,A) product,"1,2-A: negative correlation: sig"
97,The NISPI framework: Analysing collaborative problem-solving from students' physical interactions,zoe,II) Video,,II) camera,II) Microsoft Kinetic,1) physical interactivity,1）Body,1）Gross Body motion,,"1) II
",,A)CPS competencies,A) researcher coded ,A) performance,A) product,1-A: anova: sig
98,Many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,zoe,"II) Video
III) Audio
V) Log data",,"II) camera
III) Microphone
V) Log data","II) RGB-D
III) NS
V) Learning Platform","1) Affective States
2) Speech
3) Task- context
4) Gaze","1)Physiological
2)Verbal
3)Log
4) Gaze","1) Affective
2) Speech
3) Task- related 
4) Gaze",,"1) II
2) III
3) V
4) II",,"A) Learning gains 
","A) pre-post test 
",A) Learning ,A) product,"2-A: Kruskal-Wallis: sig 
1,2,3-A: sup. machine learning: sig: (0.89)"
99,"Supervised machine learning in multimodal learning analytics
for estimating success in project-based learning",zoe,"II) Video
III) Audio
V) Log",,"II) Camera
III) microphone
V) log","II) camera
III) Audio
V) learning platform","II) NS 
III) NS 
V) Arduino IDE","1）Total number of faces looking toward the screen (FLLS)
2） Total number of connected Arduino components (IDEVHW) 
7） Mean distance between learners (DBL)
9)    measure of complexity (IDEX) ",,,"1) II 
2) V
3) II 
4) III
5) II
6) II
7) V
8) II
9) V",,A) task performance,A) researcher coded ,A) performance,A) product,"7,2,9,10-A: regression: sig: (best result)"
100,Modelling Collaborative Problem-solving Competence with Transparent Learning Analytics: Is Video Data Enough?,zoe,II) Video,,II) Camera,II) NS,"1) Metrics of frequency
2) Metrics of hands distance","1) Body
2) Body","1) Hand 
2) Hand",,"1) II
2) II",,A) CPS competence,A) Researcher coded ,A) Collaboration,A) process,"1,2-A: machine learning: sig: (0.75)"
101,An Integrated Observing Technic for Collaborative Learning: The Multimodal Learning Analytics Based on the Video Coding and EEG Data Mining,zoe,VIII) EEG,,VIII) EEG,VIII) NS,1) mediation- anxiety level,1) physiology,1) brain,,1) VIII,,A) Learning gains ,A) researcher coded ,A) Learning ,A) product,1-A: Mann-Whitney U and Kruskal-Wllis tests: sig
102,Inter-brain synchrony in teams predicts collective performance,zoe,VIII) EEG ,,"VIII) EEG sensor
","VIII) Emotiv
",1) Inter-brain synchrony ,1) physiology,1) brain,,1) VIII,,A) tasks performance,A) mixed - researcher coded & tests,A) Performance,A) product,1-A: correlation: sig
103,,kavie,"I) Eye Gaze
III) Audio",,"I) Eye Tracker
III) Microphone",,"1) Fixation
2) Phonemic clause","1) Gaze
2) Speech","1) Visual Attention
2) Speech",,"1) I
2) III",,A) Conversational attention,A) researcher coded,A) attention,A) process,"1,2-A: t-test: sig"
104,,kavie,I) Eye Gaze,,I) Eye Tracker,,1) Eye gaze trace,1) Gaze,1) Eye Motion,,1) I,,A) Performance,A) log data,A) performance,A) product,1-A: ANOVA: sig
105,,kavie,"I) Eye Gaze
III) Audio",,"I) Eye Tracker
III) Microphone",I) Eye-link II,"1) Shared gaze
2) Shared voice","1) Gaze
2) Speech","1) Visual Attention
2) Speech",,"1) I
2) III",,A) Task performance,A) log data,A) performance,A) product,"1,2-A: t-test: sig"
106,,kavie,V) Log Data,,V) Log Data,,"1) task properties
2) people's actions
3) message content","1) log data
2) log data
3) log data","1) task-related
2) task-related
3) task-related",,"1) V
2) V
3) V",,A) focus attention,A) log data,A) coordination,A) process,"1, 2, 3-A: sup machine learning: sig: (74.25%)"
107,,kavie,X) BVP,,X) Digital pen,X) DOVE,1) gesture drawing on video feed,1) Body,1) Gesture drawing,,1) X,,A) Task performance,A) log data,A) collaboration,A) process,1-A: ANOVA: sig
108,,kavie,"I) Eye Gaze
III) Audio",,"I) Eye Tracker
III) Microphone",,"1) attention
2) speech","1) Gaze
2) Speech","1) Visual Attention
2) Speaking Time",,"1) I
2) III",,A) quality of collaboration,A) log data,A) collaboration,A) process,"1-A: t-test: nonsig
2-A: t-test: sig"
109,A Look Is Worth a Thousand Words: FullGaze Awareness in Video-MediatedConversation,zoe,"I) Eye Gaze
III) Audio",,II) camera,II) NS,1)  gaze awareness ,1) Gaze,1) Visual Attention,,1) I,,"A) Task Performance 
B) collaboration quality","A) log data
B) log data ","A) performance 
B) collaboration
","A) product
B) process","1-A: ANOVA: sig 
1-B: ANOVA: sig"
110,Recognizing communicative facial expressions for discovering interpersonal emotions in group meetings,zoe,II) Video,,II) camera,II) NS,1) facial expressions,1) Physiological,1) Affective,,1) II,,A) Emotion network,A) researcher coded ,A) collaboration,A) process,1-A: unsup. machine learnig: sig 
113,Coordinating spatial referencing using shared gaze,zoe ,"I)  Eye Gaze
III) Audio",,"I) eyetracker
III) microphone","I)  Eyelink II
III) NS","1) shared gaze
2) shared speech ","1) Gaze
2) Speech ","1) visual attention
2) Speech Features",,"1) I
2) III",,A) task performance ,A) log data ,A) performance,A) product,"1,2-A: t-test: sig "
114,Affective e-Learning: Using “Emotional” Data to Improve Learning in Pervasive Learning Environment,zoe ,"VIII) EEG
VII) ECG
VI) EDA
X) BVP",,VIII) EEG sensor,"VIII) NS
VII) NS
VI) NS
X) NS","1) physiology
2) physiology
3) physiology
4) physiology
","1) physiology
2) physiology
3) physiology
4) physiology
","1) brain
2) brain
3）brain
4）brain",,"1) VIII
2) VII
3) VI
4) X",,A) Affective states,A) self-report ,A) Affective ,A) process,"1,2,3,4-A: machine learning: sig: (86.30%)"
118,Multimodal Analysis of Group Attitudes Towards Meeting Management,zoe,III) Audio,,III) Microphone,III) NS,"1) Speech Features
2) Linguisitc features ","1) Verbal
2) Verbal","1) Speech features 
2) Speech features",,"1) III
2) III",,A) social impressions,A) self report,A) Collaboration,A) process,"1,2-A: sup.machine learning: sig: (93%)"
119,"Toward Open-Microphone Engagementfor Multiparty Interactions",kavie,III) Audio,,III) Microphone,,"1) speech features
2) speech features
3) speech style","1) Verbal
2) Verbal
3) Verbal","1) Speech instructions
2) Adjacent utterances
3) Dialogue style",,"1) III
2) III
3) III",,"A) amplitude difference
B) command usage","A) log data
B) researcher coded","A) Collaboration
B) Coordination","A) process
B) product","1,2,3-A: t-test: sig
1,2,3-B: t-test: sig"
120,Evaluation of user gestures in multi-touch interaction: a case study in pair-programming,kavie,II) Video,,II) Camera,,1) Gesture fluency,1) Body,1) Gesture fluency,,1) II,,A) communicative intent ,A) researcher coded,A) Collaboration,A) process,1-A: ANOVA: sig
121,"Towards Adapting Fantasy, Curiosity and Challenge in
Multimodal Dialogue Systems for Preschoolers",kavie,III) Audio,,III) Microphone,,1) speech features,1) Verbal,1) speech usage,,1) III,,"A) task completion
B) fantasy levels","A) researcher coded
B) researcher coded","A) performance
B) affective","A) product
B) process","1-A: correlation: sig: (r=0.406)
1-B: correlation: sig: (r=0.224)"
122,"Multimodal recognition of personality traits in social interactions
Authors
",zoe,"II) Video
III) Audio",,"II) camera
III) Microphone","III) NS
II) NS","1) Gross body movements 
2) Speech Features ","1) Body
2) Verbal","1) Gross body motions
2) Speech features ",,"1) II
2) III",,A) personality traits (five personality),A) questionnaire,A) group composition,A) Condition,"1,2-A:sup.machine learning: sig: (90%)"
123,Modeling the Personality of Participants During Group Interactions,zoe,"II) Video
III) Audio",,"II) camera
III) Microphone
","III) NS
II) NS","1) Gross body movements 
2) Speech Features ","1) Body
2) Verbal","1) Body
2) speech features ",,"1) II
2) III",,A) personality traits (Extraversion and Locus of Control),A) questionnaire,A) group composition,A) Condition,"1,2- A: sup.machine learning: sig: (90%)"
124,"Automatic prediction of individual performance from"" thin slices"" of social behavior",zoe,"II) Video
III) Audio",,"II) camera
III) Microphone","III) NS
II) NS","1) Gross body movements
2) Speech Features","1) Body
2) Verbal","1) Body
2) Speech features ",,"1) II
2) III",,A) task performance,A) researcher coded,A) product,A) product,"1,2-A: unsup-machine learning: sig: (50%)"
125,Combining audio and video to predict helpers' focus of attention in multiparty remote collaboration on physical tasks,kavie,"II) Video
III) Audio",,"II) Camera
III) Microphone",,"1) gross body movements
2) dialogue","1) Body
2) Verbal","1) worker's actions
2) dialogue ",,"1) II
2) III",,A) focus of attention,A) researcher coded,A) Collaboration,A) process,"1,2-A: sup.machine learning: sig: (81.79%)"
126,Predicting remote versus collocated group interactions using nonverbal cues,kavie,III) Audio,,III) Microphone,,"1) Speaking Length
2) Speaking Turns
3) Successful Interruptions
4) Backchannels
5) Fraction of overlapped speech
6) Fraction of silence","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal","1) speech features
2) speech features
3) speech features
4) speech features
5) speech features
6) speech features ",,"1) III
2) III
3) III
4) III
5) III
6) III",,"A) type of meeting (collocated or remote)
B) collocated meeting inference
C) remote member participation","A) log data
B) log data
C) log data","A) Group dynamics
B) Group dynamics
C) Group dynamics","A) Condition
B) Condition
C) Condition","2-A: unsup.machine.learning: sig: (70%) 
2-B: unsup.machine.learning: sig: (81%)
1-C: unsup.machine.learning: sig: (50%)"
127,Reciprocal attentive communication in remote meeting with a humanoid robot,kavie,II) Video ,,II) camera,,1) gaze frequency,1) Gaze,1) gaze frequency,,1) II,,A) conversational attention,A) questionnaire,A) attention,A) process,1-A: Tukey’s HSD test: sig
128,Estimating focus of attention based on gaze and sound,zoe,"I) Eye Gaze
III) Audio",,"II) camera
III) Microphone","II) NS
II) NS","1) gaze focus 
2) sound focus","1) Gaze
2) Verbal","1) Visual Attention 
2) speech features ",,"1) II
2) III",,A) focus of attention,A) researcher coded ,A) Group dynamics,A) process,"1,2-A: sup. machine learning: (74.8%)"
129,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,zoe,"I) Eye Gaze
V) log data ",,"I) Eye Tracker
V) application","I) Tobii 1750
II) NS","1) gaze fixations
2) gaze saccades
3) task actions","1)Gaze
2)Gaze
3) Log","1) Visual Attention
2) Eye Motion
3) task-related ",,"1) I 
2) I
3) V",,A) group contexts ,A) researcher coded ,A) Group dynamics,A) process,"1,2,3-A: sup. machine learning: sig: (81.43%)"
131,Putting the Pieces Together: Multimodal Analysis of Social Attention in Meetings,zoe,"I) Eye Gaze
II) Video
III) Audio",,"II) Camera
III) Microphone","II) NS
III) NS","1) eye gaze directions
2) head movements
3) speech features","1) Gaze
2) Body
3) Verbal","1) visual attention
2) hand motions
3) speech features
",,"1) I
2) II
3) III",,A) focus of attention ,A) researcher coded ,A) Coordination,A) process,"1,2,3-A: sup.machine learning: sig: (94.6%)"
132,Modeling focus of attention for meeting indexing,zoe,"I) Eye Gaze
IV) Kinesiology",,"II) Camera
XI) Motion detecting sensor ","II)NS
XI) Polhemus pose tracker","1) eye gaze directions 
2) head movements","1) Gaze
2) Body","1) visual attention 
2)head motions ",,"1) I 
2) IV",,A) focus of attention ,"A) researcher coded
",A) coordination,A) process,"1,2-A: sup. machine learning: sig: (93%)"
133,Modeling focus of attention for meeting indexing based on multiple cues,zoe,"I) Eye Gaze
III) Audio
IV) Kinesiology",,"II) Camera
III) Microphone
XI) Motion detecting sensor ","II)NS
III) NS
XI) Polhemus pose tracker","1) eye gaze directions 
2) head movements
3) Speech features","1) Gaze
2) Body
3) Verbal","1) visual attention 
2) head motions ",,"1) I 
2) IV",,A) focus of attention ,A) researcher coded,A) coordination,A) process,"1,2,3-A: sup.machine learning: (76%)"
134,Mediated attention with multimodal augmented reality,kavie,I) Eye Gaze,,I) Eye Tracker,,1) reaction time,1) Gaze,"1) visual attention 
2) head motions 
3) speech features ",,1) I,,"A) search time
B) error rate","A) log data
B) researcher coded","A) attention
B) performance","A) process
B) product","1-A: t-test: sig
1-B: t-test: sig"
135,Implicit user-adaptive system engagement in speech and pen interfaces,kavie,"III) Audio
V) Log Data",,"III) Microphone
V) Digital Pen",,"1) speech amplitude
2) pen pressure","1) Verbal
2) Log Data","1) speech features
2) body motions",,"1) III
2) IV",,A) task performance,A) research coded,A) performance,A) product,"1-A: t-test: sig
2-A: t-test: nonsig"
136,Gaze-communicative behavior of stuffed-toy robot with joint attention and eye contact based on ambient gaze-tracking,kavie,I) Eye Gaze,,I) Eye Tracker,,"1) reaction to eye contact
2) user-initiative joint attention","1) Gaze
2) Gaze","1) visual attention
2) visual attention",,"1) I
2) I",,"A) subconscious interest
B) favorable feeling","A) self report
B) self report","A) engagement
B) interpersonal relationship
","A) process
B) process","1-A: t-test: sig
2-B: t-test: sig"
137,Multi-party focus of attention recognition in meetings from head pose and multimodal contextual cues,zoe,"III) Audio
IV) Kinesiology
V) Log Data",,"III)Microphone
II) Camera
V) Log ",,"1) speech features 
2) head rotations 
3) slide data ","1) Verbal
2) Body 
3) Log Data","1) speech features
2) head motions 
3) Task- related ",,"1) III
2) IV
3) V",,A) focus of attention ,"A) researcher coded
",A) coordination,A) process,"1,2,3-A: unsup.machine learning: (46.7%)"
138,Multimodal Real-Time Focus of Attention Estimation in SmartRooms,zoe,IV) Kinesiology,,IV) Camera,,1) head rotation,1) Body,1) head motions,,1) IV,,A) focus of attention ,"A) researcher coded
",A) coordination,A) process,1-A: unsup.machine learning: (85%)
139,,kavie,"II) Video
III) Audio",,"II) Camera
III) Audio",,"1) gesture
2) communication quality","1) Body
2) Verbal","1) gross body motion
2) speech participation",,"1) II
2) III",,A) task performance,A) researcher coded,A) performance,A) product,"1-A: ANOVA: nonsig
2-A: ANOVA: nonsig"
140,,kavie,I) Eye Gaze,,I) Eye Tracker,,1) focus of attention,1) Gaze,1) visual attention,,1) I,,"A) task performance
B) quality of assistance
C) communication efficiency","A) log data
B) questionnaire
C) ","A) performance
B) coordination
C) coordination","A) product
B) process
C) process","1-A: ANOVA: sig
1-B: ANOVA: sig
1-C: ANOVA: sig"
141,,kavie,IV) Kinesiology,,IV) Camera,,1) head rotation,1) Body,1) head motions,,1) IV,,"A) peripheral awareness
","A) researcher coded
","A) coordination
",A) process,1-A: t-test: sig
142,,zoe,VIII) EEG ,,"VIII) EEG sensor
","VIII) Enobio EEG
",1) brain waves patterns ,1) physiology,1）brain,,1) VIII,,A) Situational Interest ,A) questionnaire,A) coordination,A) process,1-A: sup.machine learning: (93.3%)
143,,kavie,I) Eye Gaze,,I) Eye Tracker,,1) eye movements,1) Gaze,1) visual attention,,1) I,,"A) early disambiguation
B) orienting effect","A) log data
B) researcher coded","A) communication
B) coordination ","A) process
B) process","1-A: ANOVA: sig
1-B: t-test: sig"
144,,kavie,III) Audio,,III) Microphone,,1) speech time,1) Verbal,1) speech features,,1) III,,"A) speaking dynamics
B) group interactivity level
C) distraction level","A) log data
B) researcher coded
C) researcher coded","A) group dynamics
B) engagement
C) engagement","A) process
B) process
C) process","1-A: ANOVA: sig
1-B: ANOVA: sig
1-C: ANOVA: sig"
145,,kavie,"III) Audio
IV) Kinesiology",,"III) Microphone
IV) Camera",,"1) speaking length
2) speaking energy
3) motion activity","1) Verbal
2) Verbal
3) Body","1) speech features
2) speech features
3) gross body motion",,"1) III
2) III
3) IV",,A) perceived dominance,A) researcher coded,A) group dynamics,A) process,"1-A: sup. machine learning: (85%)
2-A: sup. machine learning: (82%)
3-A: sup. machine learning: (62%)"
146,Visual focus of attention estimation from head pose posterior probability distributions,zoe,IV) Kinesiology,,II) Camera,,1) head pose,1) Body,1) head motions,,1) IV,,A) focus of attention ,"A) researcher coded
",A) coordination,A) process,1-A: unsup.machine learning: sig: (53.6%)
147,Towards High-Level Human Activity Recognition through Computer Vision and Temporal Logic,zoe,"II) Video
III) Audio
IV) Kinesiology",,"II) Camera
III) Microphone
IV) Camera",,"1) focus of attention
2) gestures
3) speech features ","1) Gaze
2) Body
3) Verbal","1) visual attention
2) gross body motion
3) speech features ",,"1) II
2) IV
3) III",,A) group activity,A)researcher coded,A) group dynamics,A) process,"1,2,3-A: unsup.machine learning: (74.4%)"
148,Biosignals reflect pair-dynamics in collaborative work: EDA and ECG study of pair-programming in a classroom environmen,zoe,"VI) EDA
VII) ECG",,"VI) wearable sensor
VII) wearable sensor","VI) Shimmer 3+ GSR devices
VII)  eMotion Faros 180",1) Social Physiological Compliance (SPC),"1) Physiology
",1) combined,,1) VI& VII,,A) task performance,A) log data ,A) performance,A) product,1-A: minimum-width envelope: sig
149,"Toward Automated Detection of Phase Changes in Team Collaboration
",zoe,III) Audio,,III) Microphone,,1) speech features,1) Verbal,1) speech features,,1) III,,A) team coordination,A) researcuer coded,A) coordination,A) process,1-A: sup.machine learning: (40%)
150,Modeling People's Focus of Attention,zoe,IV) Kinesiology,,IV) Camera,,1) head rotation,1) Body,1) head motions,,1) IV,,A) focus of attention ,"A) researcher coded
",A) coordination,A) process,1-A: unsup.machine learning: (93%)
151,,kavie,"VI) EDA
VII) ECG
?) Breathing (changes in lung volume) ",,"VI) Wearable sensor, Wristband
VII) ECG
?) ",,1) Physiological Compliance ,1) Physiology,1) Physiological Compliance,,"1) VI, VII, ?",,"A) task completion time
B) collision damage
C) team coordination","A) log data
B) researcher coded
C) researcher coded","A) performance
B) performance
C) coordination","A) product
B) product
C) process","1-A: regression: sig
1-B: regression: nonsig
1-C: regression: nonsig"
152,,kavie,"III) Audio
V) Log Data",,"III) Microphone
V) Log Data",,"1) verbal participation
2) physical participation","1) Verbal
2) Log","1) speech features
2) physical participation",,"1) III
2) V",,A) group collaboration level,"A) researcher coded
",A) collaboration,A) process,"1,2-A: unsup.machine learning: (60%)"
153,,kavie,"I) Eye Gaze
III) Audio",,"I) Eye Tracker
III) Microphone",,"1) amount of eye gaze at others
2) amount of mutual gaze
3) amount of speech
4) breaking a silence","1) Gaze
2) Gaze
3) Verbal
4) Verbal","1) visual attention
2) visual attention
3) speech features
4) speech particpation",,"1) I
2) I
3) III
4) III",,A) Conversational dominance,A) questionnaire,A) group dynamics,A) process,"1,2,3,4-A: regression: sig"
